model,task,prompt_combo,prompt_text,raw_response,prediction,latency_sec,true_label,correct,true_positive,false_positive,true_negative,false_negative,gt_label,summary_accuracy,summary_precision,summary_recall,summary_f1_score,summary_fpr,summary_fnr,summary_true_positives,summary_false_positives,summary_true_negatives,summary_false_negatives,summary_total_predictions,summary_emissions_kgCO2
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T0|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a software engineer specializing in bug detection. Analyze the given Python function and determine whether it contains a bug.

MANDATORY: Output only a single digit...",1,1,0.1123,1,1,1,0,0,0,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T1|V=V1,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a code reviewer. Examine the provided Python program and classify it as correct or buggy.

You are in an automated pipeline. Output exactly one character — 0 or 1 —...",1,1,0.1128,1,1,1,0,0,0,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T2|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are an automated bug detector. Given a Python function, decide if it is correct (1) or contains a bug (0).

MANDATORY: Output only a single digit (0 or 1). Do not expla...",1,1,0.1126,0,0,0,1,0,0,0,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T0|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a software engineer specializing in bug detection. Analyze the given Python function and determine whether it contains a bug.

MANDATORY: Output only a single digit...",1,1,0.1167,0,0,0,1,0,0,0,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T1|V=V1,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a code reviewer. Examine the provided Python program and classify it as correct or buggy.

You are in an automated pipeline. Output exactly one character — 0 or 1 —...",1,1,0.1139,0,0,0,1,0,0,0,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T2|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are an automated bug detector. Given a Python function, decide if it is correct (1) or contains a bug (0).

MANDATORY: Output only a single digit (0 or 1). Do not expla...",1,1,0.134,1,1,1,0,0,0,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T0|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a software engineer specializing in bug detection. Analyze the given Python function and determine whether it contains a bug.

MANDATORY: Output only a single digit...",1,1,0.1347,1,1,1,0,0,0,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T1|V=V1,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a code reviewer. Examine the provided Python program and classify it as correct or buggy.

You are in an automated pipeline. Output exactly one character — 0 or 1 —...",1,1,0.134,1,1,1,0,0,0,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T2|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are an automated bug detector. Given a Python function, decide if it is correct (1) or contains a bug (0).

MANDATORY: Output only a single digit (0 or 1). Do not expla...",0,0,0.1112,1,0,0,0,0,1,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T0|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a software engineer specializing in bug detection. Analyze the given Python function and determine whether it contains a bug.

MANDATORY: Output only a single digit...",0,0,0.1096,1,0,0,0,0,1,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T1|V=V1,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a code reviewer. Examine the provided Python program and classify it as correct or buggy.

You are in an automated pipeline. Output exactly one character — 0 or 1 —...",0,0,0.109,1,0,0,0,0,1,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T2|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are an automated bug detector. Given a Python function, decide if it is correct (1) or contains a bug (0).

MANDATORY: Output only a single digit (0 or 1). Do not expla...",0,0,0.1088,1,0,0,0,0,1,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T0|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a software engineer specializing in bug detection. Analyze the given Python function and determine whether it contains a bug.

MANDATORY: Output only a single digit...",0,0,0.1068,1,0,0,0,0,1,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T1|V=V1,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a code reviewer. Examine the provided Python program and classify it as correct or buggy.

You are in an automated pipeline. Output exactly one character — 0 or 1 —...",0,0,0.1086,1,0,0,0,0,1,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T2|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are an automated bug detector. Given a Python function, decide if it is correct (1) or contains a bug (0).

MANDATORY: Output only a single digit (0 or 1). Do not expla...",1,1,0.1105,1,1,1,0,0,0,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T0|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a software engineer specializing in bug detection. Analyze the given Python function and determine whether it contains a bug.

MANDATORY: Output only a single digit...",1,1,0.1129,1,1,1,0,0,0,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T1|V=V1,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a code reviewer. Examine the provided Python program and classify it as correct or buggy.

You are in an automated pipeline. Output exactly one character — 0 or 1 —...",1,1,0.1111,1,1,1,0,0,0,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T2|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are an automated bug detector. Given a Python function, decide if it is correct (1) or contains a bug (0).

MANDATORY: Output only a single digit (0 or 1). Do not expla...",0,0,0.1306,0,1,0,0,1,0,0,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T0|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a software engineer specializing in bug detection. Analyze the given Python function and determine whether it contains a bug.

MANDATORY: Output only a single digit...",0,0,0.1297,0,1,0,0,1,0,0,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T1|V=V1,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a code reviewer. Examine the provided Python program and classify it as correct or buggy.

You are in an automated pipeline. Output exactly one character — 0 or 1 —...",0,0,0.1269,0,1,0,0,1,0,0,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T2|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are an automated bug detector. Given a Python function, decide if it is correct (1) or contains a bug (0).

MANDATORY: Output only a single digit (0 or 1). Do not expla...",0,0,0.129,1,0,0,0,0,1,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T0|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a software engineer specializing in bug detection. Analyze the given Python function and determine whether it contains a bug.

MANDATORY: Output only a single digit...",0,0,0.1281,1,0,0,0,0,1,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T1|V=V1,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a code reviewer. Examine the provided Python program and classify it as correct or buggy.

You are in an automated pipeline. Output exactly one character — 0 or 1 —...",0,0,0.1294,1,0,0,0,0,1,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T2|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are an automated bug detector. Given a Python function, decide if it is correct (1) or contains a bug (0).

MANDATORY: Output only a single digit (0 or 1). Do not expla...",1,1,0.1134,0,0,0,1,0,0,0,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T0|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a software engineer specializing in bug detection. Analyze the given Python function and determine whether it contains a bug.

MANDATORY: Output only a single digit...",1,1,0.1104,0,0,0,1,0,0,0,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T1|V=V1,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a code reviewer. Examine the provided Python program and classify it as correct or buggy.

You are in an automated pipeline. Output exactly one character — 0 or 1 —...",1,1,0.1107,0,0,0,1,0,0,0,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T2|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are an automated bug detector. Given a Python function, decide if it is correct (1) or contains a bug (0).

MANDATORY: Output only a single digit (0 or 1). Do not expla...",1,1,0.1192,1,1,1,0,0,0,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T0|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a software engineer specializing in bug detection. Analyze the given Python function and determine whether it contains a bug.

MANDATORY: Output only a single digit...",1,1,0.1178,1,1,1,0,0,0,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T1|V=V1,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a code reviewer. Examine the provided Python program and classify it as correct or buggy.

You are in an automated pipeline. Output exactly one character — 0 or 1 —...",1,1,0.1189,1,1,1,0,0,0,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T2|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are an automated bug detector. Given a Python function, decide if it is correct (1) or contains a bug (0).

MANDATORY: Output only a single digit (0 or 1). Do not expla...",1,1,0.1103,1,1,1,0,0,0,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T0|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a software engineer specializing in bug detection. Analyze the given Python function and determine whether it contains a bug.

MANDATORY: Output only a single digit...",1,1,0.1087,1,1,1,0,0,0,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T1|V=V1,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a code reviewer. Examine the provided Python program and classify it as correct or buggy.

You are in an automated pipeline. Output exactly one character — 0 or 1 —...",1,1,0.1075,1,1,1,0,0,0,1,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T2|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are an automated bug detector. Given a Python function, decide if it is correct (1) or contains a bug (0).

MANDATORY: Output only a single digit (0 or 1). Do not expla...",0,0,0.1159,0,1,0,0,1,0,0,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T0|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a software engineer specializing in bug detection. Analyze the given Python function and determine whether it contains a bug.

MANDATORY: Output only a single digit...",0,0,0.1162,0,1,0,0,1,0,0,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T1|V=V1,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a code reviewer. Examine the provided Python program and classify it as correct or buggy.

You are in an automated pipeline. Output exactly one character — 0 or 1 —...",0,0,0.1173,0,1,0,0,1,0,0,0.62,0.5938,0.76,0.6667,0.52,0.24,57,39,36,18,150,0.00144553
